Date,Product,Category,Region,Channel,Units_Sold,Unit_Price,Stock_Remaining
2023-09-13,Laptop,Electronics,East,Store,27,720,271
2023-09-14,Laptop,Electronics,West,Online,2,1403,152
2023-09-15,Keyboard,Accessories,West,Online,14,307,484
2023-09-16,Laptop,Electronics,West,Online,4,173,327
2023-09-17,Mouse,Accessories,West,Online,49,442,284
2023-09-18,Mouse,Accessories,West,Store,13,869,179
2023-09-19,Monitor,Electronics,South,Online,36,69,301
2023-09-20,Tablet,Electronics,North,Online,35,1250,152
2023-09-21,Printer,Electronics,East,Store,44,583,233
2023-09-22,Headphones,Accessories,East,Store,8,873,22
2023-09-23,Laptop,Electronics,West,Store,2,902,417
2023-09-24,Laptop,Electronics,East,Store,6,681,450
2023-09-25,Keyboard,Accessories,West,Online,31,584,93
2023-09-26,Tablet,Electronics,South,Online,10,232,369
2023-09-27,Mouse,Accessories,South,Store,44,1109,244
2023-09-28,Headphones,Accessories,North,Store,21,1275,289
2023-09-29,Monitor,Electronics,South,Online,42,830,159
2023-09-30,Mouse,Accessories,South,Online,10,869,372
2023-10-01,Tablet,Electronics,North,Online,23,1363,284
2023-10-02,Printer,Electronics,East,Online,3,1180,8
2023-10-03,Monitor,Electronics,West,Online,32,900,449
2023-10-04,Printer,Electronics,West,Store,20,1108,184
2023-10-05,Keyboard,Accessories,East,Store,10,1175,294
2023-10-06,Keyboard,Accessories,North,Store,29,353,134
2023-10-07,Laptop,Electronics,East,Store,41,51,109
2023-10-08,Printer,Electronics,South,Online,46,887,68
2023-10-09,Tablet,Electronics,North,Store,34,917,135
2023-10-10,Headphones,Accessories,North,Online,37,1286,95
2023-10-11,Monitor,Electronics,North,Online,20,1235,118
2023-10-12,Mouse,Accessories,West,Online,8,1185,373
2023-10-13,Tablet,Electronics,East,Online,7,620,273
2023-10-14,Tablet,Electronics,North,Online,6,1007,357
2023-10-15,Keyboard,Accessories,North,Online,11,1234,365
2023-10-16,Printer,Electronics,North,Online,44,1192,337
2023-10-17,Laptop,Electronics,East,Store,18,618,176
2023-10-18,Laptop,Electronics,West,Online,42,1459,360
2023-10-19,Monitor,Electronics,South,Store,29,539,236
2023-10-20,Keyboard,Accessories,West,Store,25,888,271
2023-10-21,Tablet,Electronics,North,Online,21,35,276
2023-10-22,Headphones,Accessories,West,Online,46,1149,137
2023-10-23,Keyboard,Accessories,West,Store,3,302,361
2023-10-24,Monitor,Electronics,South,Store,18,1147,131
2023-10-25,Monitor,Electronics,East,Store,24,380,43
2023-10-26,Keyboard,Accessories,East,Store,47,1078,122
2023-10-27,Monitor,Electronics,West,Online,38,132,135
2023-10-28,Keyboard,Accessories,West,Online,10,327,366
2023-10-29,Mouse,Accessories,East,Online,27,978,372
2023-10-30,Keyboard,Accessories,East,Store,12,1096,125
2023-10-31,Printer,Electronics,South,Online,7,1124,438
2023-11-01,Keyboard,Accessories,North,Store,17,853,274
2023-11-02,Monitor,Electronics,West,Online,1,1412,494
2023-11-03,Printer,Electronics,East,Store,26,261,63
2023-11-04,Monitor,Electronics,West,Online,15,50,295
2023-11-05,Laptop,Electronics,West,Online,33,723,231
2023-11-06,Laptop,Electronics,East,Store,37,888,50
2023-11-07,Printer,Electronics,South,Store,47,1404,136
2023-11-08,Mouse,Accessories,West,Store,31,252,157
2023-11-09,Laptop,Electronics,South,Store,35,1077,55
2023-11-10,Keyboard,Accessories,East,Store,1,1286,80
2023-11-11,Monitor,Electronics,North,Online,8,970,231
2023-11-12,Laptop,Electronics,North,Store,12,78,427
2023-11-13,Laptop,Electronics,West,Online,19,790,442
2023-11-14,Mouse,Accessories,East,Online,25,1121,398
2023-11-15,Printer,Electronics,South,Online,32,737,451
2023-11-16,Printer,Electronics,West,Online,12,321,325
2023-11-17,Tablet,Electronics,East,Online,13,822,127
2023-11-18,Mouse,Accessories,East,Store,28,916,125
2023-11-19,Keyboard,Accessories,South,Store,1,131,316
2023-11-20,Printer,Electronics,West,Online,6,1456,79
2023-11-21,Monitor,Electronics,East,Online,8,336,473
2023-11-22,Mouse,Accessories,East,Store,4,1188,376
2023-11-23,Laptop,Electronics,East,Store,5,687,356
2023-11-24,Monitor,Electronics,South,Online,25,709,406
2023-11-25,Monitor,Electronics,West,Store,22,37,332
2023-11-26,Laptop,Electronics,West,Store,28,1394,174
2023-11-27,Mouse,Accessories,West,Store,39,1198,144
2023-11-28,Laptop,Electronics,West,Online,23,797,440
2023-11-29,Tablet,Electronics,North,Store,4,379,125
2023-11-30,Monitor,Electronics,North,Online,4,351,181
2023-12-01,Headphones,Accessories,West,Online,47,547,218
2023-12-02,Headphones,Accessories,South,Online,21,31,435
2023-12-03,Keyboard,Accessories,North,Online,37,1118,277
2023-12-04,Printer,Electronics,East,Online,41,231,484
2023-12-05,Laptop,Electronics,North,Store,2,660,82
2023-12-06,Laptop,Electronics,East,Online,7,302,422
2023-12-07,Keyboard,Accessories,West,Online,49,1238,482
2023-12-08,Keyboard,Accessories,North,Online,16,799,140
2023-12-09,Keyboard,Accessories,South,Store,17,1073,333
2023-12-10,Monitor,Electronics,North,Store,20,1052,495
2023-12-11,Tablet,Electronics,North,Store,23,1352,94
2023-12-12,Laptop,Electronics,North,Store,34,1488,364
2023-12-13,Monitor,Electronics,West,Store,11,1353,193
2023-12-14,Keyboard,Accessories,South,Store,34,696,109
2023-12-15,Laptop,Electronics,North,Store,33,724,51
2023-12-16,Monitor,Electronics,South,Online,26,445,102
2023-12-17,Tablet,Electronics,West,Online,2,610,100
2023-12-18,Monitor,Electronics,East,Store,23,110,141
2023-12-19,Tablet,Electronics,North,Online,41,475,200
2023-12-20,Keyboard,Accessories,South,Online,22,463,457
2023-12-21,Tablet,Electronics,South,Store,34,98,318
2023-12-22,Laptop,Electronics,West,Online,15,946,198
2023-12-23,Keyboard,Accessories,North,Online,10,122,283
2023-12-24,Laptop,Electronics,East,Store,15,642,493
2023-12-25,Headphones,Accessories,South,Online,42,1499,216
2023-12-26,Mouse,Accessories,North,Store,29,1009,45
2023-12-27,Tablet,Electronics,East,Store,23,1357,27
2023-12-28,Mouse,Accessories,South,Online,17,1290,1
2023-12-29,Mouse,Accessories,South,Online,9,253,382
2023-12-30,Tablet,Electronics,East,Online,36,663,16
2023-12-31,Keyboard,Accessories,East,Store,9,1278,314
2024-01-01,Headphones,Accessories,West,Store,16,809,435
2024-01-02,Laptop,Electronics,North,Store,36,406,387
2024-01-03,Monitor,Electronics,North,Online,48,866,76
2024-01-04,Laptop,Electronics,West,Online,33,57,465
2024-01-05,Monitor,Electronics,South,Store,31,1204,386
2024-01-06,Laptop,Electronics,East,Online,6,1492,370
2024-01-07,Tablet,Electronics,East,Online,10,1160,164
2024-01-08,Headphones,Accessories,East,Store,16,260,96
2024-01-09,Monitor,Electronics,South,Store,4,1069,104
2024-01-10,Printer,Electronics,East,Online,22,581,23
2024-01-11,Keyboard,Accessories,East,Store,13,825,199
2024-01-12,Laptop,Electronics,West,Online,16,317,34
2024-01-13,Laptop,Electronics,South,Store,29,824,1
2024-01-14,Monitor,Electronics,North,Store,6,173,288
2024-01-15,Keyboard,Accessories,West,Store,26,751,331
2024-01-16,Keyboard,Accessories,West,Online,11,487,341
2024-01-17,Tablet,Electronics,North,Online,24,68,460
2024-01-18,Printer,Electronics,West,Store,29,65,137
2024-01-19,Tablet,Electronics,South,Store,3,1328,336
2024-01-20,Tablet,Electronics,East,Store,10,799,61
2024-01-21,Tablet,Electronics,South,Online,1,101,298
2024-01-22,Tablet,Electronics,North,Store,43,1087,196
2024-01-23,Tablet,Electronics,North,Store,26,974,376
2024-01-24,Headphones,Accessories,West,Store,12,292,58
2024-01-25,Keyboard,Accessories,South,Store,14,413,264
2024-01-26,Tablet,Electronics,South,Online,25,809,332
2024-01-27,Keyboard,Accessories,North,Online,8,614,187
2024-01-28,Keyboard,Accessories,South,Store,43,77,62
2024-01-29,Mouse,Accessories,North,Online,4,584,307
2024-01-30,Headphones,Accessories,South,Online,28,20,278
2024-01-31,Tablet,Electronics,South,Online,7,235,29
2024-02-01,Laptop,Electronics,South,Store,10,1360,170
2024-02-02,Monitor,Electronics,North,Online,36,1271,451
2024-02-03,Printer,Electronics,West,Online,2,785,20
2024-02-04,Laptop,Electronics,South,Online,26,690,298
2024-02-05,Headphones,Accessories,North,Store,14,1330,200
2024-02-06,Monitor,Electronics,North,Store,16,530,134
2024-02-07,Headphones,Accessories,South,Online,43,934,271
2024-02-08,Keyboard,Accessories,South,Online,42,114,22
2024-02-09,Monitor,Electronics,West,Store,17,512,441
2024-02-10,Keyboard,Accessories,North,Store,46,784,86
2024-02-11,Laptop,Electronics,North,Online,22,1041,30
2024-02-12,Laptop,Electronics,East,Online,4,169,120
2024-02-13,Monitor,Electronics,North,Store,19,1066,68
2024-02-14,Monitor,Electronics,West,Store,2,775,133
2024-02-15,Tablet,Electronics,East,Online,39,1258,370
2024-02-16,Headphones,Accessories,East,Store,9,418,448
2024-02-17,Tablet,Electronics,East,Online,19,429,314
2024-02-18,Headphones,Accessories,South,Online,16,150,495
2024-02-19,Tablet,Electronics,South,Online,25,874,411
2024-02-20,Keyboard,Accessories,North,Store,48,167,145
2024-02-21,Monitor,Electronics,East,Online,18,400,471
2024-02-22,Laptop,Electronics,West,Online,23,1152,332
2024-02-23,Headphones,Accessories,South,Store,21,571,480
2024-02-24,Headphones,Accessories,West,Store,11,1164,393
2024-02-25,Laptop,Electronics,West,Online,39,314,262
2024-02-26,Tablet,Electronics,South,Online,41,1163,292
2024-02-27,Headphones,Accessories,South,Store,4,475,479
2024-02-28,Printer,Electronics,South,Store,25,188,428
2024-02-29,Keyboard,Accessories,South,Store,32,729,85
2024-03-01,Monitor,Electronics,East,Online,30,1186,15
2024-03-02,Laptop,Electronics,East,Online,45,56,215
2024-03-03,Monitor,Electronics,East,Online,26,1304,115
2024-03-04,Printer,Electronics,East,Store,36,250,117
2024-03-05,Headphones,Accessories,North,Online,34,273,269
2024-03-06,Headphones,Accessories,East,Store,9,348,394
2024-03-07,Printer,Electronics,South,Online,12,1340,466
2024-03-08,Laptop,Electronics,West,Store,2,999,342
2024-03-09,Keyboard,Accessories,East,Online,38,29,161
2024-03-10,Mouse,Accessories,North,Online,5,465,187
2024-03-11,Laptop,Electronics,South,Store,5,941,103
2024-03-12,Mouse,Accessories,West,Store,22,855,140
2024-03-13,Printer,Electronics,West,Online,5,1273,166
2024-03-14,Tablet,Electronics,East,Store,4,97,299
2024-03-15,Mouse,Accessories,West,Store,9,1468,27
2024-03-16,Keyboard,Accessories,East,Online,29,212,423
2024-03-17,Tablet,Electronics,East,Store,22,420,271
2024-03-18,Mouse,Accessories,South,Online,27,128,49
2024-03-19,Printer,Electronics,South,Online,10,811,370
2024-03-20,Tablet,Electronics,North,Store,16,282,155
2024-03-21,Printer,Electronics,South,Store,42,348,323
2024-03-22,Mouse,Accessories,South,Online,42,382,347
2024-03-23,Printer,Electronics,East,Online,10,1421,120
2024-03-24,Keyboard,Accessories,South,Online,6,1384,443
2024-03-25,Mouse,Accessories,East,Online,49,278,139
2024-03-26,Mouse,Accessories,East,Online,5,1378,15
2024-03-27,Mouse,Accessories,South,Online,6,104,308
2024-03-28,Laptop,Electronics,North,Store,47,327,437
2024-03-29,Laptop,Electronics,North,Store,25,281,48
2024-03-30,Laptop,Electronics,West,Store,4,816,163
2024-03-31,Keyboard,Accessories,West,Online,40,650,61
2024-04-01,Tablet,Electronics,South,Store,48,699,339
2024-04-02,Printer,Electronics,North,Online,32,884,153
2024-04-03,Headphones,Accessories,East,Online,35,1495,311
2024-04-04,Mouse,Accessories,West,Store,10,1294,375
2024-04-05,Printer,Electronics,East,Online,34,343,345
2024-04-06,Mouse,Accessories,West,Online,36,944,149
2024-04-07,Keyboard,Accessories,South,Online,6,1272,375
2024-04-08,Mouse,Accessories,North,Online,43,1340,72
2024-04-09,Laptop,Electronics,West,Online,46,746,68
2024-04-10,Headphones,Accessories,North,Online,16,1280,464
2024-04-11,Monitor,Electronics,East,Store,19,997,176
2024-04-12,Mouse,Accessories,South,Online,34,236,353
2024-04-13,Printer,Electronics,North,Online,25,1289,1
2024-04-14,Laptop,Electronics,South,Online,31,467,308
2024-04-15,Monitor,Electronics,North,Online,49,338,118
2024-04-16,Headphones,Accessories,East,Store,41,1013,6
2024-04-17,Monitor,Electronics,East,Store,17,1475,254
2024-04-18,Laptop,Electronics,South,Online,47,1447,483
2024-04-19,Tablet,Electronics,East,Online,30,56,460
2024-04-20,Tablet,Electronics,West,Online,39,750,403
2024-04-21,Monitor,Electronics,North,Store,31,1385,477
2024-04-22,Keyboard,Accessories,East,Store,19,1030,413
2024-04-23,Printer,Electronics,West,Store,35,1432,74
2024-04-24,Printer,Electronics,South,Store,29,1077,350
2024-04-25,Monitor,Electronics,West,Online,1,58,194
2024-04-26,Mouse,Accessories,South,Store,4,228,186
2024-04-27,Mouse,Accessories,South,Store,28,849,449
2024-04-28,Printer,Electronics,North,Online,18,875,495
2024-04-29,Printer,Electronics,North,Online,26,1195,2
2024-04-30,Tablet,Electronics,West,Store,40,918,183
2024-05-01,Keyboard,Accessories,North,Store,19,1408,334
2024-05-02,Laptop,Electronics,North,Store,6,1242,272
2024-05-03,Mouse,Accessories,North,Store,1,620,367
2024-05-04,Printer,Electronics,West,Online,8,779,51
2024-05-05,Tablet,Electronics,East,Online,33,1122,262
